Report generated on: 03-23-2023 11:38:06
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.4702-33-COM-THP.A","        Comoros","328.328","337.986","347.053","356.137","365.664","375.65","386.068","396.887","408.07","419.584","431.119","442.277","452.99","463.318","473.478","483.76","494.288","505.033","515.959","526.443","536.758","547.741","559.047","570.13","581.154","592.683","604.658","616.899","629.47","642.493","656.024","670.071","684.553","699.393","714.612","730.216","746.232","761.664","776.313","790.986","806.166","821.625","836.774"
"INTL.4702-33-COG-THP.A","        Congo-Brazzaville","1829.256","1870.54","1911.634","1951.851","2001.739","2062.555","2124.863","2188.654","2253.336","2319.177","2385.435","2452.675","2520.958","2594.168","2669.22","2742.309","2816.595","2875.037","2937.166","3016.659","3134.03","3254.101","3331.158","3424.653","3543.012","3672.839","3813.323","3956.329","4089.602","4257.23","4437.884","4584.216","4713.257","4828.066","4944.861","5064.386","5186.824","5312.34","5441.062","5570.733","5702.174","5835.806","5970.424"
"INTL.4702-33-COD-THP.A","        Congo-Kinshasa","26708.69","27457.78","28219.22","29005.18","29879.85","30800.05","31725.13","32712.57","33750.05","34825.89","35987.54","37194.81","38332.3","39580.84","41511.98","43285.79","44118.71","44822.2","45895.52","47227.24","48616.32","50106.66","51662.07","53205.64","54815.61","56550.25","58381.63","60289.42","62249.72","64270.23","66391.26","68654.27","70997.87","73460.02","76035.59","78656.91","81430.98","84283.27","87087.35","89906.89","92853.16","95894.12","99010.21"
"INTL.4702-33-COK-THP.A","        Cook Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4702-33-CRI-THP.A","        Costa Rica","2414.303","2481.334","2550.78","2622.532","2696.2","2771.463","2847.849","2924.595","3001.461","3079.001","3158.253","3239.414","3321.939","3405.372","3489.152","3572.856","3656.234","3739.421","3821.421","3901.43","3979.193","4053.222","4122.623","4188.61","4252.8","4315.887","4378.172","4440.019","4501.921","4563.127","4622.252","4679.926","4736.593","4791.535","4844.288","4895.242","4945.205","4993.842","5040.734","5084.532","5123.105","5153.957","5180.829"
"INTL.4702-33-HRV-THP.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","4570.806","4611.636","4653.741","4610.314","4551.08","4535.393","4530.967","4508.882","4371.279","4301.711","4305.425","4305.597","4308.935","4311.877","4313.139","4312.553","4310.61","4305.453","4294.729","4281.186","4267.332","4252.558","4233.376","4203.662","4167.884","4123.763","4087.213","4064.946","4044.534","4024.088","4005.52"
"INTL.4702-33-CUB-THP.A","        Cuba","9809.107","9848.56","9908.874","9984.591","10065.54","10149.04","10235.48","10326.91","10425.43","10527.19","10626.68","10713.81","10783.75","10840.93","10887.21","10926.7","10963.03","10998.13","11033.76","11070.09","11105.79","11139.13","11170.05","11199.22","11225.29","11246.11","11260.63","11269.89","11276.61","11283.18","11290.42","11298.71","11309.29","11321.58","11332.03","11339.89","11342.01","11336.41","11328.24","11316.7","11300.7","11256.37","11212.19"
"INTL.4702-33-CYP-THP.A","        Cyprus","512.3","522.845","524.623","531.518","538.397","544.605","550.888","556.584","562.693","572.655","587.141","603.069","619.231","632.944","645.399","656.333","666.313","675.215","682.862","690.497","697.549","705.539","713.72","722.893","733.067","744.013","757.916","776.333","796.93","819.14","839.751","862.011","865.878","858","847.008","848.319","854.802","864.236","875.899","888.005","895.7693","905.4429","913.6367"
"INTL.4702-33-CZE-THP.A","        Czechia","--","--","--","--","--","--","--","--","--","--","--","--","--","10330.89","10333.48","10325.78","10313.72","10302.88","10293.19","10282.42","10249.3","10212.75","10195.85","10194.33","10197.54","10214.31","10242.74","10309.98","10394.9","10448.47","10477.49","10498.43","10512.12","10513.81","10528.58","10548","10569.46","10598.34","10634.9","10677.38","10698.84","10716.24","10743.62"
"INTL.4702-33-CIV-THP.A","        Côte d’Ivoire","8303.81","8621.621","8948.119","9282.05","9621.405","9964.075","10309.44","10663.5","11043.19","11462.94","11910.54","12369.27","12838.31","13316.45","13802.29","14299.73","14810.95","15335.45","15858.99","16345.89","16799.67","17245.47","17683.9","18116.45","18544.9","18970.21","19394.06","19817.7","20244.45","20677.76","21120.04","21562.91","22010.71","22469.27","22995.55","23596.74","24213.62","24848.02","25493.99","26147.55","26811.79","27478.25","28160.54"
